index,Websites URL
1,0gomovies.com.pk
2,123movies.com.pk
3,123movies.net.pk
4,1ststep.pk
5,1win-casino.pk
6,1win-mobile.pk
7,1win-pak.pk
8,1win-pakistan.pk
9,1win.com.pk
10,1win.pk
11,1winapps.pk
12,1winbet.pk
13,1winpakistanbk.pk
14,1winsports.pk
15,1xbet-app.pk
16,1xbet-pk.pk
17,1xbet.pk
18,24hours.pk
19,24seven.pk
20,3dlifestyle.pk
21,3realtors.pk
22,3sbrands.pk
23,5050.pk
24,5gbet.pk
25,777cx.com.pk
26,7star.pk
27,8171.com.pk
28,8171ehsaasnews.com.pk
29,8171ehsaasnews.pk
30,8171ehsaasprogrambisp.pk
31,8171ehsaasprograme.pk
32,8171official.pk
33,8171onlinecheck.pk
34,8171update.pk
35,8171webportalonline.pk
36,92beddingstore.pk
37,92coco.com.pk
38,92glory.com.pk
39,92pakapp.com.pk
40,92pakk.com.pk
41,999.com.pk
42,9thclassresult2025.pk
43,a4tech.com.pk
44,aaims.edu.pk
45,abasyn.edu.pk
46,abaya.pk
47,abhi.com.pk
48,abwholesale.pk
49,acad.org.pk
50,accesson.net.pk
51,accesson.pk
52,adams.pk
53,adly.pk
54,adore.com.pk
55,adour.pk
56,adventinteractive.com.pk
57,aeronet.com.pk
58,af.org.pk
59,afes.edu.pk
60,affinity.com.pk
61,affordable.pk
62,afss.pk
63,agahe.org.pk
64,agmip.pk
65,agp.com.pk
66,agripunjab.gov.pk
67,agu.edu.pk
68,ahan.org.pk
69,ahmedperfumes.pk
70,ahpc.org.pk
71,ahsanautos.pk
72,aig.com.pk
73,aihcommunication.net.pk
74,ailaaj.pk
75,aimec.edu.pk
76,aimms.edu.pk
77,ainak.pk
78,aiou.edu.pk
79,aioudts.pk
80,airhostess.pk
81,ajk.gov.pk
82,ajkpolice.gok.pk
83,ajkpsc.gov.pk
84,ajku.edu.pk
85,ajmal.pk
86,ajtraders.com.pk
87,akhuwat.org.pk
88,alahmar.com.pk
89,alakhbar.com.pk
90,alaqsa.com.pk
91,albaraka.com.pk
92,alburakinternet.net.pk
93,alfatah.com.pk
94,alfatah.pk
95,alhaidertravel.pk
96,alhamdtech.pk
97,alhaseeb.pk
98,alhassan.pk
99,alhuda.com.pk
100,alisports.pk
101,alizeh.pk
102,alladin.pk
103,allgovtjobz.pk
104,allinonestore.pk
105,allmytech.pk
106,allprizebond.pk
107,allurebeauty.pk
108,almas.pk
109,almirah.com.pk
110,alnasser.pk
111,alpinefarms.com.pk
112,amaleaked.pk
113,amdc.edu.pk
114,amdhouse.pk
115,amdte-rect.gov.pk
116,ameena.pk
117,amis.pk
118,amity.pk
119,amts.pk
120,anarkalicrafting.pk
121,aneela.pk
122,aneelas.pk
123,anex.pk
124,animalnexus.com.pk
125,anonib.pk
126,aodour.pk
127,aoe.edu.pk
128,apexminerals.com.pk
129,apkguru.pk
130,apms.pk
131,apnafurniture.pk
132,apnatime.pk
133,apnichatapnaghar.com.pk
134,apollosports.pk
135,app.com.pk
136,applepakistan.com.pk
137,apps.net.pk
138,apricot.com.pk
139,arabnews.pk
140,arfragrances.pk
141,argandeluxe.pk
142,artstudio.com.pk
143,arysahulatbazar.pk
144,arzaan.pk
145,asaankarobarfinancescheme.com.pk
146,asaanretail.pk
147,asadautos.pk
148,asavir.pk
149,asifaandnabeel.pk
150,askaribank.com.pk
151,asktech.com.pk
152,asraderm.pk
153,astenterprises.com.pk
154,astore.pk
155,astrohope.pk
156,atlashonda.com.pk
157,atrangi.pk
158,atrc.net.pk
159,attarigadgets.pk
160,au.edu.pk
161,aukfoods.com.pk
162,aup.edu.pk
163,auria.pk
164,auroracloset.pk
165,ausman.pk
166,aust.edu.pk
167,autojin.pk
168,autostore.pk
169,autotel.pk
170,aviator-game.com.pk
171,aviator-games.com.pk
172,aviator.com.pk
173,aviator.net.pk
174,avocado.pk
175,awkum.edu.pk
176,aysonline.pk
177,ayubmed.edu.pk
178,az-solutions.pk
179,azpackages.pk
180,azureofficial.pk
181,b9gameapp.pk
182,baapparels.pk
183,babiesstore.pk
184,babiesworld.com.pk
185,baby-store.pk
186,babybazar.pk
187,babycloset.pk
188,babyland.com.pk
189,babyplanet.pk
190,babytoys.pk
191,bacgame.com.pk
192,baghicha.com.pk
193,bagstore.pk
194,bagx.pk
195,bahria.edu.pk
196,bajao.pk
197,bakar.pk
198,bakehouse.pk
199,balochistan.gov.pk
200,balochistanpolice.gov.pk
201,bandana.pk
202,bankislami.com.pk
203,banoqabil.pk
204,banuri.edu.pk
205,baqai.edu.pk
206,baroque.com.pk
207,baroque.pk
208,barqraftar.pk
209,bata.com.pk
210,batik.com.pk
211,battmax.pk
212,bausch.pk
213,bbise.edu.pk
214,beaconlightacademy.edu.pk
215,beautifly.com.pk
216,beautygirl.pk
217,bebekingdom.pk
218,bechlo.pk
219,beechtree.pk
220,beeducated.pk
221,bellacom.com.pk
222,beme.pk
223,benazirincomesupportprogramme.pk
224,benazirkafalat.pk
225,benazirtaleemi8171.pk
226,benazirtaleemiwazaif.pk
227,beoe.gov.pk
228,bery.com.pk
229,bestway.com.pk
230,bet-pro.pk
231,biek.edu.pk
232,biit.edu.pk
233,bilalmarth7.pk
234,binfahad.pk
235,bingopatti.pk
236,bioaqua.com.pk
237,bioshop.pk
238,biseatd.edu.pk
239,biseb.edu.pk
240,bisebwp.edu.pk
241,bisebwp.pk
242,bisedgkhan.edu.pk
243,bisedik.edu.pk
244,bisefsd.edu.pk
245,bisegrw.edu.pk
246,biseh.edu.pk
247,bisekt.edu.pk
248,biselrk.edu.pk
249,bisemalakand.edu.pk
250,bisemdn.edu.pk
251,bisempk.edu.pk
252,bisemultan.edu.pk
253,bisep.edu.pk
254,biserawalpindi.edu.pk
255,biserwp.edu.pk
256,bisesahiwal.edu.pk
257,bisesargodha.edu.pk
258,bisess.edu.pk
259,bisesuksindh.edu.pk
260,bisp.gov.pk
261,bispwebportal.com.pk
262,bkuc.edu.pk
263,blackcamels.com.pk
264,blingspot.pk
265,blinkbroadband.pk
266,bloodygaming.pk
267,bluebirdarts.pk
268,bluehosting.pk
269,blumoon.pk
270,bn55-game.pk
271,bnu.edu.pk
272,boe.com.pk
273,bok.com.pk
274,bonafide.pk
275,bonbon.pk
276,bookme.pk
277,booksvilla.com.pk
278,bop.com.pk
279,borjan.com.pk
280,brain.net.pk
281,brainmusic.pk
282,braintel.net.pk
283,branches.pk
284,brandcollection.com.pk
285,brandedcutpieces.com.pk
286,brandedkicks.pk
287,brandedluggage.com.pk
288,brandedwatches.pk
289,brands4you.pk
290,branighty.pk
291,branny.pk
292,bravonutrition.pk
293,breachit.pk
294,breakin.pk
295,breakout.com.pk
296,bridalcollection.pk
297,bridals.pk
298,brightspark.com.pk
299,bringit.pk
300,britishcouncil.pk
301,broadwaypizza.com.pk
302,brothersagrifarms.com.pk
303,bsek.edu.pk
304,bsekresult.com.pk
305,bucket.pk
306,buetk.edu.pk
307,buitms.edu.pk
308,bunkr.pk
309,burak.net.pk
310,bushrastore.pk
311,businesslist.pk
312,butterfly.com.pk
313,buyersinn.pk
314,buyon.pk
315,buyzilla.pk
316,bzu.edu.pk
317,caapakistan.com.pk
318,cabinet.gov.pk
319,callcourier.com.pk
320,calza.com.pk
321,carbuddy.pk
322,careerjobs2381.com.pk
323,carrefour.pk
324,carrera.pk
325,cartflo.pk
326,cartonhouse.com.pk
327,catfootwear.com.pk
328,catip.org.pk
329,cba.com.pk
330,cbr.gov.pk
331,ccar.gov.pk
332,ccptraffickyc.pk
333,ccrim.org.pk
334,ccstore.pk
335,cda.gov.pk
336,cdcaccess.com.pk
337,cecos.edu.pk
338,cedar.edu.pk
339,celebjared.pk
340,celebritynews.pk
341,celina.pk
342,centreline.com.pk
343,cewre.edu.pk
344,cfstudio.pk
345,changan.com.pk
346,chapter2.pk
347,charcoal.com.pk
348,chasevalue.pk
349,chashmay.com.pk
350,chashmegul.pk
351,chemistdirect.pk
352,chemistry.com.pk
353,chicvogue.pk
354,chiefapparel.pk
355,childrenpublications.com.pk
356,chilltime.pk
357,chillzonehvac.com.pk
358,chinyere.pk
359,chip.edu.pk
360,chte.gob.pk
361,chunnumunnu.pk
362,cinegold.com.pk
363,cinemakick.pk
364,cinestar.pk
365,citizenportal.gov.pk
366,city21.pk
367,clasf.pk
368,classicbedsheet.pk
369,clearpathortho.pk
370,clickable.pk
371,clicknget.pk
372,clicky.pk
373,cll.com.pk
374,clothinginn.com.pk
375,clothzilla.pk
376,cloudy.com.pk
377,cloudy.pk
378,cmp-punjab.com.pk
379,cmscheme.pk
380,cmu.gov.pk
381,cngfgames.pk
382,cnicinformation.com.pk
383,cocobee.com.pk
384,cokestudio.com.pk
385,colgate-palmolive.com.pk
386,colorprediction.pk
387,colorshow.pk
388,commecscollege.edu.pk
389,commerce.gov.pk
390,computerzone.pk
391,comsats.edu.pk
392,comsats.net.pk
393,condomsoutlet.pk
394,connect.net.pk
395,connectel.com.pk
396,copypencil.pk
397,cosmetics.pk
398,cosmic.net.pk
399,cothm.edu.pk
400,cougar.com.pk
401,covid.gov.pk
402,cozmetica.pk
403,cpec.gov.pk
404,cpsp.edu.pk
405,crayon.pk
406,crazevalue.pk
407,cricketpakistan.com.pk
408,crimson.com.pk
409,crossstitch.pk
410,crushitdigital.pk
411,cscr.pk
412,csd.gov.pk
413,cssforum.com.pk
414,ctexs.pk
415,ctplahore.gop.pk
416,cu.edu.pk
417,cubeonline.pk
418,cubexs.net.pk
419,cuiatd.edu.pk
420,cuilahore.edu.pk
421,cuiwah.edu.pk
422,culturalfusion.pk
423,curl.pk
424,currenwatches.com.pk
425,cusit.edu.pk
426,cust.edu.pk
427,customizedjewellers.pk
428,customstoday.com.pk
429,cxtreme.pk
430,cyber.net.pk
431,cycling-world.pk
432,czone.com.pk
433,dablew.pk
434,dabstore.pk
435,dadabhoy.edu.pk
436,daewoo.com.pk
437,daewoo.net.pk
438,daily.pk
439,dailyaaj.com.pk
440,dailyfun.pk
441,dailykhabrain.com.pk
442,dailypakistan.com.pk
443,dailytimes.com.pk
444,daimtraders.pk
445,dakaan.pk
446,dakkhana.com.pk
447,damadam.pk
448,dandydesigns.pk
449,danytech.com.pk
450,dappershop.pk
451,daraz.pk
452,darlink.pk
453,darvaza.pk
454,dashracegear.com.pk
455,dawaai.pk
456,dawlance.com.pk
457,dazlogistics.pk
458,dazzle.com.pk
459,dcode.com.pk
460,dealmarkaz.pk
461,dealo.com.pk
462,dealsexpress.pk
463,deeds.pk
464,defence.pk
465,deflorette.pk
466,delawrence.pk
467,derma.pk
468,descargarplus.pk
469,desicinemas.pk
470,designerbrands.pk
471,designerreplica.pk
472,dex.com.pk
473,dgcs.gos.pk
474,dgip.gov.pk
475,dgkmc.edu.pk
476,dhaga.com.pk
477,dhai-r.com.pk
478,dhanak.com.pk
479,dials.pk
480,digibop.com.pk
481,digidokaan.pk
482,digikhata.pk
483,digilog.pk
484,digiskills.pk
485,digitallibrary.edu.pk
486,digitalpersona.pk
487,digitalrightsfoundation.pk
488,digitalsafar.pk
489,digitrends.pk
490,diners.com.pk
491,discountoffers.pk
492,discountstore.pk
493,districtcourtssindh.gos.pk
494,divat.pk
495,dlportal.pk
496,dls.gos.pk
497,dmarket.pk
498,dmasti.pk
499,dnanews.com.pk
500,dnd.com.pk
501,dnstore.pk
502,dnt.net.pk
503,dogar.com.pk
504,domain.pk
505,dominance.pk
506,dominos.com.pk
507,dotz.pk
508,downdetector.pk
509,dra.gov.pk
510,dragontiger.pk
511,dreamnet.com.pk
512,dreamparty.pk
513,dresses.com.pk
514,dressfair.pk
515,drrashelshop.pk
516,drummair.pk
517,dsl.net.pk
518,dsmonline.pk
519,dsu.edu.pk
520,dtechnologies.com.pk
521,duet.edu.pk
522,duhs.edu.pk
523,dunya.com.pk
524,durafoam.com.pk
525,dustbinhub.com.pk
526,dvago.pk
527,dvdplanetstore.pk
528,dwatson.pk
529,dyot.pk
530,eads.pk
531,easternfashion.pk
532,easterntimes.pk
533,easyhost.pk
534,easypaisa.com.pk
535,easysight.pk
536,easytoearn.com.pk
537,eatmubarak.pk
538,eatoye.pk
539,ebill.pk
540,ebone.net.pk
541,ebuy.pk
542,ecasiocentre.pk
543,ecoteklighting.com.pk
544,ecp.gov.pk
545,edge.pk
546,edgestore.pk
547,educationaltoys.pk
548,eduhelps.pk
549,eduportal.pk
550,eduvision.edu.pk
551,efashion.com.pk
552,eflix.com.pk
553,egsports.pk
554,ehsaasprograms8171.com.pk
555,elan.pk
556,elb.com.pk
557,elearn.gov.pk
558,elitekids.com.pk
559,elitestore.pk
560,elixirbags.pk
561,ellena.pk
562,elmstreet.pk
563,elyscentperfumes.pk
564,elyscents.pk
565,emap.pk
566,emeds.pk
567,emela.pk
568,enc.com.pk
569,endpolio.com.pk
570,energy.pk
571,enggentrancetest.pk
572,engine.com.pk
573,enic.pk
574,environment.gov.pk
575,eobi.gov.pk
576,eobipension.com.pk
577,eoc.gov.pk
578,eoffice.gov.pk
579,ep.gov.pk
580,epr.org.pk
581,eprocure.gov.pk
582,epza.gov.pk
583,eri.edu.pk
584,esentiments.pk
585,essaywritingservices.pk
586,essentia.com.pk
587,estationers.pk
588,estockmart.com.pk
589,estreet.pk
590,etea.edu.pk
591,etoys.pk
592,evee.pk
593,eveen.pk
594,evoucher.pk
595,excise.gos.pk
596,exglobal.pk
597,exponent.com.pk
598,exportclub.pk
599,expostore.pk
600,express.com.pk
601,express.pk
602,eyebank.pk
603,faisalfabrics.pk
604,faizanmotorsports.pk
605,faizasaqlain.pk
606,falconbroadband.net.pk
607,fantasy-gems.com.pk
608,farahtalibaziz.com.pk
609,farashaonline.pk
610,farosh.pk
611,fashioncentral.pk
612,fashionflare.pk
613,fashionholic.pk
614,fashionker.pk
615,fashionoutlet.pk
616,fasilite.pk
617,fastex.pk
618,fasttel.com.pk
619,fauji.org.pk
620,fbise.edu.pk
621,fbr.gov.pk
622,fccollege.edu.pk
623,fearless.com.pk
624,feebee.pk
625,femalechoice.pk
626,femalestudio.pk
627,fesco.com.pk
628,fescoebills.pk
629,festive.pk
630,ffc.com.pk
631,ffc.gov.pk
632,fg.com.pk
633,fgei.gov.pk
634,fia.gov.pk
635,fiberish.net.pk
636,fiberlink.net.pk
637,fikrfree.com.pk
638,filmyzilla.pk
639,fims.org.pk
640,finalchoice.com.pk
641,finance.gov.pk
642,finca.pk
643,finditonline.pk
644,fireox.pk
645,fivo.pk
646,fjwu.edu.pk
647,flare.pk
648,flashfootwear.com.pk
649,flaship.pk
650,flp.org.pk
651,flyingcart.pk
652,fmeos.pk
653,fmovies.net.pk
654,fmu.gov.pk
655,fmworld.pk
656,folder.pk
657,fonepro.pk
658,foodpanda.pk
659,footsteps.pk
660,forex.com.pk
661,forex.pk
662,forextrading.pk
663,fpcci.org.pk
664,fpsc.gov.pk
665,fragranceshop.pk
666,freelancer.pk
667,frenzy.pk
668,freshbasket.com.pk
669,friendscables.com.pk
670,friendshome.pk
671,fsco.com.pk
672,fscobill.pk
673,fui.edu.pk
674,funhub.com.pk
675,funhub.pk
676,funmax.pk
677,funon.pk
678,funsies.pk
679,funstream.pk
680,furnitureclub.pk
681,furnitureplus.com.pk
682,fuuast.edu.pk
683,fwo.com.pk
684,g-mart.pk
685,gacckaror.edu.pk
686,galaxy.net.pk
687,galaxy.pk
688,galaxybags.com.pk
689,galgarb.pk
690,gallup.com.pk
691,gamcamedical.pk
692,gamenow.com.pk
693,gamepark.pk
694,gamesandgears.pk
695,gamestop.com.pk
696,gamestore.com.pk
697,gamezacademy.pk
698,gammalinks.pk
699,garderobe.pk
700,garena.pk
701,gari.pk
702,garmin.pk
703,gb-apps.com.pk
704,gbapps.org.pk
705,gbappsdl.pk
706,gbappss.net.pk
707,gbwa.com.pk
708,gbwapps.net.pk
709,gbwhtsapp.pk
710,gcstsi.org.pk
711,gcu.edu.pk
712,gcuf.edu.pk
713,gcuh.edu.pk
714,gcuonline.pk
715,gcwkotsultan.edu.pk
716,gcwuf.edu.pk
717,gcwus.edu.pk
718,gda.gov.pk
719,gece.edu.pk
720,gemstore.pk
721,generation.com.pk
722,generations.com.pk
723,geo.net.pk
724,gepco.com.pk
725,gepco.net.pk
726,gepcobillonline.pk
727,gepcoerp.com.pk
728,gerrys.com.pk
729,ges.net.pk
730,getfast.pk
731,getintopc.com.pk
732,getit.pk
733,getlinks.net.pk
734,getnow.pk
735,gfg.com.pk
736,ggcclayyah.edu.pk
737,ghazibrothers.com.pk
738,gift.edu.pk
739,giftpoint.com.pk
740,giki.edu.pk
741,gkp.pk
742,glamstore.pk
743,glaxydollars.com.pk
744,globalcomputers.pk
745,globalgums.com.pk
746,globalhelpline.org.pk
747,glory-casino.net.pk
748,gob.pk
749,gofashion.pk
750,gog.pk
751,gointernet.net.pk
752,gok.pk
753,gold.pk
754,goldenpearl.com.pk
755,golootlo.pk
756,gomilaintersole.pk
757,google.com.pk
758,google.pk
759,goonj.pk
760,gop.pk
761,gos.pk
762,gotest.com.pk
763,goto.com.pk
764,governmentjob.pk
765,gpgcm.edu.pk
766,gracestore.pk
767,graceup.pk
768,grandenclave.pk
769,grandtel.com.pk
770,greengardens.pk
771,greenworldtravel.com.pk
772,grocerapp.pk
773,grouplink.pk
774,gscwu.edu.pk
775,gu.edu.pk
776,gudgk.edu.pk
777,guitar.com.pk
778,gulaal.pk
779,gulshanfabrics.com.pk
780,guntrader.pk
781,habib.edu.pk
782,hajvery.edu.pk
783,hamdard.edu.pk
784,hamdard.pk
785,hamzastore.pk
786,hangama.pk
787,hangers.pk
788,hangree.com.pk
789,happyhouse.com.pk
790,harcheez.pk
791,hareer.com.pk
792,haseebarts.pk
793,hashootrust.org.pk
794,haval.pk
795,havelyn.com.pk
