Indexes,Websites URL
1,0gomovies.com.pk
2,123movies.com.pk
3,123movies.net.pk
4,1ststep.pk
5,1win-pak.pk
6,1win.pk
7,1winbet.pk
8,1xbet.pk
9,24hours.pk
10,3realtors.pk
11,5gbet.pk
12,777cx.com.pk
13,7star.pk
14,8171official.pk
15,8171onlinecheck.pk
16,8171webportalonline.pk
17,92beddingstore.pk
18,92coco.com.pk
19,92glory.com.pk
20,92pakapp.com.pk
21,999.com.pk
22,9thclassresult2025.pk
23,a4tech.com.pk
24,abwholesale.pk
25,acad.org.pk
26,accesson.net.pk
27,accesson.pk
28,adams.pk
29,adore.com.pk
30,adour.pk
31,aeronet.com.pk
32,afes.edu.pk
33,affinity.com.pk
34,affordable.pk
35,agripunjab.gov.pk
36,ahan.org.pk
37,ahmedperfumes.pk
38,ahpc.org.pk
39,ahsanautos.pk
40,aihcommunication.net.pk
41,ailaaj.pk
42,ainak.pk
43,aiou.edu.pk
44,aioudts.pk
45,ajk.gov.pk
46,ajkpolice.gok.pk
47,ajkpsc.gov.pk
48,ajku.edu.pk
49,ajmal.pk
50,ajtraders.com.pk
51,akhuwat.org.pk
52,alahmar.com.pk
53,alakhbar.com.pk
54,alaqsa.com.pk
55,alburakinternet.net.pk
56,alfatah.com.pk
57,alfatah.pk
58,alhaidertravel.pk
59,alhamdtech.pk
60,alhassan.pk
61,alizeh.pk
62,alladin.pk
63,allgovtjobz.pk
64,allinonestore.pk
65,allmytech.pk
66,allprizebond.pk
67,allurebeauty.pk
68,almas.pk
69,almirah.com.pk
70,amaleaked.pk
71,amdhouse.pk
72,amdte-rect.gov.pk
73,ameena.pk
74,anarkalicrafting.pk
75,aneela.pk
76,aneelas.pk
77,anex.pk
78,animalnexus.com.pk
79,anonib.pk
80,aodour.pk
81,apms.pk
82,apnafurniture.pk
83,apnatime.pk
84,apnichatapnaghar.com.pk
85,apollosports.pk
86,app.com.pk
87,applepakistan.com.pk
88,apricot.com.pk
89,arabnews.pk
90,arfragrances.pk
91,arysahulatbazar.pk
92,arzaan.pk
93,asaankarobarfinancescheme.com.pk
94,asadautos.pk
95,asifaandnabeel.pk
96,askaribank.com.pk
97,asktech.com.pk
98,asraderm.pk
99,astore.pk
100,astrohope.pk
101,atlashonda.com.pk
102,atrc.net.pk
103,attarigadgets.pk
104,au.edu.pk
105,aup.edu.pk
106,auroracloset.pk
107,aust.edu.pk
108,autojin.pk
109,autostore.pk
110,aviator-game.com.pk
111,aviator.net.pk
112,awkum.edu.pk
113,aysonline.pk
114,ayubmed.edu.pk
115,azpackages.pk
116,azureofficial.pk
117,b9gameapp.pk
118,baapparels.pk
119,babiesstore.pk
120,babiesworld.com.pk
121,babybazar.pk
122,babyland.com.pk
123,babyplanet.pk
124,babytoys.pk
125,bagstore.pk
126,bagx.pk
127,bahria.edu.pk
128,bajao.pk
129,bakar.pk
130,bakehouse.pk
131,balochistan.gov.pk
132,balochistanpolice.gov.pk
133,bandana.pk
134,bankislami.com.pk
135,banoqabil.pk
136,banuri.edu.pk
137,baroque.com.pk
138,baroque.pk
139,barqraftar.pk
140,bata.com.pk
141,batik.com.pk
142,battmax.pk
143,bausch.pk
144,bbise.edu.pk
145,beaconlightacademy.edu.pk
146,beautygirl.pk
147,bechlo.pk
148,beechtree.pk
149,beeducated.pk
150,bellacom.com.pk
151,beme.pk
152,benazirincomesupportprogramme.pk
153,beoe.gov.pk
154,bestway.com.pk
155,biek.edu.pk
156,bilalmarth7.pk
157,binfahad.pk
158,bingopatti.pk
159,bioaqua.com.pk
160,bioshop.pk
161,biseatd.edu.pk
162,biseb.edu.pk
163,bisebwp.edu.pk
164,bisebwp.pk
165,bisedgkhan.edu.pk
166,bisedik.edu.pk
167,bisefsd.edu.pk
168,bisegrw.edu.pk
169,biseh.edu.pk
170,bisekt.edu.pk
171,biselrk.edu.pk
172,bisemalakand.edu.pk
173,bisemdn.edu.pk
174,bisempk.edu.pk
175,bisemultan.edu.pk
176,bisep.edu.pk
177,biserawalpindi.edu.pk
178,biserwp.edu.pk
179,bisesahiwal.edu.pk
180,bisesargodha.edu.pk
181,bisess.edu.pk
182,bisesuksindh.edu.pk
183,bisp.gov.pk
184,bispwebportal.com.pk
185,blackcamels.com.pk
186,blingspot.pk
187,blinkbroadband.pk
188,bloodygaming.pk
189,bluebirdarts.pk
190,bluehosting.pk
191,bn55-game.pk
192,bnu.edu.pk
193,boe.com.pk
194,bok.com.pk
195,bonbon.pk
196,bookme.pk
197,booksvilla.com.pk
198,bop.com.pk
199,borjan.com.pk
200,brain.net.pk
201,braintel.net.pk
202,branches.pk
203,brandedcutpieces.com.pk
204,brandedluggage.com.pk
205,brandedwatches.pk
206,branighty.pk
207,branny.pk
208,breachit.pk
209,breakin.pk
210,breakout.com.pk
211,bridalcollection.pk
212,britishcouncil.pk
213,broadwaypizza.com.pk
214,bsek.edu.pk
215,bsekresult.com.pk
216,bunkr.pk
217,burak.net.pk
218,businesslist.pk
219,butterfly.com.pk
220,buyon.pk
221,bzu.edu.pk
222,caapakistan.com.pk
223,callcourier.com.pk
224,calza.com.pk
225,carbuddy.pk
226,careerjobs2381.com.pk
227,carrefour.pk
228,carrera.pk
229,cartonhouse.com.pk
230,catfootwear.com.pk
231,ccstore.pk
232,cda.gov.pk
233,cdcaccess.com.pk
234,cecos.edu.pk
235,cedar.edu.pk
236,celina.pk
237,cewre.edu.pk
238,changan.com.pk
239,charcoal.com.pk
240,chasevalue.pk
241,chashmay.com.pk
242,chashmegul.pk
243,chemistdirect.pk
244,chemistry.com.pk
245,chiefapparel.pk
246,chilltime.pk
247,chinyere.pk
248,chte.gob.pk
249,cinemakick.pk
250,cinestar.pk
251,citizenportal.gov.pk
252,city21.pk
253,clearpathortho.pk
254,clickable.pk
255,cll.com.pk
256,cloudy.pk
257,cmp-punjab.com.pk
258,cmscheme.pk
259,cmu.gov.pk
260,cngfgames.pk
261,cnicinformation.com.pk
262,cocobee.com.pk
263,colgate-palmolive.com.pk
264,colorshow.pk
265,computerzone.pk
266,comsats.edu.pk
267,comsats.net.pk
268,connect.net.pk
269,connectel.com.pk
270,copypencil.pk
271,cosmetics.pk
272,cosmic.net.pk
273,cothm.edu.pk
274,cougar.com.pk
275,cozmetica.pk
276,cpsp.edu.pk
277,cricketpakistan.com.pk
278,crimson.com.pk
279,crossstitch.pk
280,crushitdigital.pk
281,csd.gov.pk
282,ctexs.pk
283,ctplahore.gop.pk
284,cu.edu.pk
285,cubeonline.pk
286,cubexs.net.pk
287,cuiatd.edu.pk
288,cuilahore.edu.pk
289,cuiwah.edu.pk
290,culturalfusion.pk
291,curl.pk
292,currenwatches.com.pk
293,cust.edu.pk
294,customizedjewellers.pk
295,cxtreme.pk
296,cyber.net.pk
297,czone.com.pk
298,dablew.pk
299,daewoo.com.pk
300,daewoo.net.pk
301,dailyaaj.com.pk
302,dailyfun.pk
303,dailykhabrain.com.pk
304,dailypakistan.com.pk
305,dailytimes.com.pk
306,daimtraders.pk
307,dakkhana.com.pk
308,damadam.pk
309,danytech.com.pk
310,daraz.pk
311,darlink.pk
312,darvaza.pk
313,dawaai.pk
314,dawlance.com.pk
315,dazlogistics.pk
316,dazzle.com.pk
317,dcode.com.pk
318,dealmarkaz.pk
319,dealo.com.pk
320,dealsexpress.pk
321,deeds.pk
322,defence.pk
323,delawrence.pk
324,derma.pk
325,descargarplus.pk
326,desicinemas.pk
327,dex.com.pk
328,dgcs.gos.pk
329,dgip.gov.pk
330,dhaga.com.pk
331,dhanak.com.pk
332,dials.pk
333,digibop.com.pk
334,digidokaan.pk
335,digikhata.pk
336,digilog.pk
337,digiskills.pk
338,digitalpersona.pk
339,diners.com.pk
340,discountoffers.pk
341,discountstore.pk
342,districtcourtssindh.gos.pk
343,dlportal.pk
344,dls.gos.pk
345,dmarket.pk
346,dmasti.pk
347,dnd.com.pk
348,dnstore.pk
349,dnt.net.pk
350,dogar.com.pk
351,domain.pk
352,dominos.com.pk
353,dotz.pk
354,downdetector.pk
355,dra.gov.pk
356,dragontiger.pk
357,dreamnet.com.pk
358,dreamparty.pk
359,dresses.com.pk
360,dressfair.pk
361,drummair.pk
362,dsl.net.pk
363,dsmonline.pk
364,duet.edu.pk
365,duhs.edu.pk
366,dunya.com.pk
367,durafoam.com.pk
368,dustbinhub.com.pk
369,dvago.pk
370,dvdplanetstore.pk
371,dwatson.pk
372,dyot.pk
373,eads.pk
374,easyhost.pk
375,easypaisa.com.pk
376,easytoearn.com.pk
377,eatoye.pk
378,ebill.pk
379,ebone.net.pk
380,ebuy.pk
381,ecasiocentre.pk
382,ecp.gov.pk
383,edge.pk
384,educationaltoys.pk
385,eduhelps.pk
386,eduportal.pk
387,eduvision.edu.pk
388,efashion.com.pk
389,eflix.com.pk
390,egsports.pk
391,ehsaasprograms8171.com.pk
392,elan.pk
393,elb.com.pk
394,elearn.gov.pk
395,elitestore.pk
396,elixirbags.pk
397,elyscentperfumes.pk
398,elyscents.pk
399,emap.pk
400,enc.com.pk
401,endpolio.com.pk
402,enggentrancetest.pk
403,engine.com.pk
404,enic.pk
405,eobi.gov.pk
406,eobipension.com.pk
407,eoc.gov.pk
408,eoffice.gov.pk
409,ep.gov.pk
410,epr.org.pk
411,eprocure.gov.pk
412,essentia.com.pk
413,estationers.pk
414,etea.edu.pk
415,etoys.pk
416,evee.pk
417,eveen.pk
418,evoucher.pk
419,excise.gos.pk
420,expostore.pk
421,express.com.pk
422,express.pk
423,faisalfabrics.pk
424,faizanmotorsports.pk
425,faizasaqlain.pk
426,falconbroadband.net.pk
427,fantasy-gems.com.pk
428,farahtalibaziz.com.pk
429,farashaonline.pk
430,farosh.pk
431,fashioncentral.pk
432,fashionflare.pk
433,fastex.pk
434,fasttel.com.pk
435,fauji.org.pk
436,fbise.edu.pk
437,fbr.gov.pk
438,fccollege.edu.pk
439,femalechoice.pk
440,femalestudio.pk
441,fesco.com.pk
442,fescoebills.pk
443,ffc.com.pk
444,fg.com.pk
445,fgei.gov.pk
446,fia.gov.pk
447,fiberish.net.pk
448,fiberlink.net.pk
449,fikrfree.com.pk
450,filmyzilla.pk
451,finance.gov.pk
452,fivo.pk
453,fjwu.edu.pk
454,flashfootwear.com.pk
455,flaship.pk
456,flp.org.pk
457,flyingcart.pk
458,fmeos.pk
459,fmovies.net.pk
460,foodpanda.pk
461,footsteps.pk
462,forex.com.pk
463,forex.pk
464,forextrading.pk
465,fpsc.gov.pk
466,freelancer.pk
467,freshbasket.com.pk
468,friendscables.com.pk
469,friendshome.pk
470,fscobill.pk
471,fui.edu.pk
472,funhub.com.pk
473,funhub.pk
474,funmax.pk
475,funon.pk
476,funsies.pk
477,funstream.pk
478,fuuast.edu.pk
479,fwo.com.pk
480,g-mart.pk
481,gacckaror.edu.pk
482,galaxy.net.pk
483,galaxy.pk
484,galaxybags.com.pk
485,galgarb.pk
486,gamcamedical.pk
487,gamenow.com.pk
488,gamestop.com.pk
489,gamezacademy.pk
490,garderobe.pk
491,gari.pk
492,garmin.pk
493,gb-apps.com.pk
494,gbappsdl.pk
495,gbwapps.net.pk
496,gbwhtsapp.pk
497,gcstsi.org.pk
498,gcu.edu.pk
499,gcuf.edu.pk
500,gcuh.edu.pk
501,gcuonline.pk
502,gcwkotsultan.edu.pk
503,gcwuf.edu.pk
504,gcwus.edu.pk
505,generation.com.pk
506,generations.com.pk
507,geo.net.pk
508,gepco.com.pk
509,gepco.net.pk
510,gepcobillonline.pk
511,gepcoerp.com.pk
512,ges.net.pk
513,getfast.pk
514,getlinks.net.pk
515,ggcclayyah.edu.pk
516,gift.edu.pk
517,giki.edu.pk
518,gkp.pk
519,glaxydollars.com.pk
520,gointernet.net.pk
521,gold.pk
522,goldenpearl.com.pk
523,gomilaintersole.pk
524,google.com.pk
525,gotest.com.pk
526,governmentjob.pk
527,gracestore.pk
528,graceup.pk
529,greengardens.pk
530,grocerapp.pk
531,grouplink.pk
532,gscwu.edu.pk
533,gu.edu.pk
534,gudgk.edu.pk
535,gulaal.pk
536,guntrader.pk
537,habib.edu.pk
538,hamdard.edu.pk
539,hangama.pk
540,happyhouse.com.pk
541,haseebarts.pk
542,hazecobills.pk
543,hblibank.com.pk
544,hbs.edu.pk
545,hcloud.pk
546,hdmovie2.com.pk
547,healthkp.gov.pk
548,healthwire.pk
549,hec.gov.pk
550,heelsshoes.pk
551,heeriye.pk
552,helloworld.pk
553,herbiotics.com.pk
554,heritagejewels.com.pk
555,hesco.gov.pk
556,hf-store.pk
557,hi.net.pk
558,highfy.pk
559,hijabi.pk
560,hinz.pk
561,hnl.com.pk
562,homducts.pk
563,home.gop.pk
564,homenet.com.pk
565,homepoint.pk
566,homeshopping.pk
567,homifix.com.pk
568,honda.com.pk
569,hopfair.pk
570,hopkicks.pk
571,host.com.pk
572,hoster.pk
573,houseofbooks.pk
574,hrd1902.com.pk
575,htx.com.pk
576,hu.edu.pk
577,hub.com.pk
578,humnews.pk
579,humsub.com.pk
580,hunarmandpunjab.pk
581,hushpuppies.com.pk
582,hustlenholla.com.pk
583,hutch.pk
584,hydrisupermarket.com.pk
585,hyundaipower.com.pk
586,iba-suk.edu.pk
587,iba.edu.pk
588,ibcc.edu.pk
589,icap.org.pk
590,icasiostore.pk
591,ice.edu.pk
592,icmap.com.pk
593,icp.edu.pk
594,icstsi.com.pk
595,ictadministration.gov.pk
596,idc.net.pk
597,idealancy.pk
598,idmpakistan.pk
599,iesco.com.pk
600,iescobill.pk
601,iescobillonline.org.pk
602,ihc.gov.pk
603,ihosting.pk
604,ihsaninstitute.org.pk
605,iiu.edu.pk
606,ijazjewllerymahal.pk
607,ijc.com.pk
608,imports.pk
609,imtiaz.com.pk
610,imtiazautos.pk
611,imtiazbikerzstudio.pk
612,inshotpro.pk
613,insignia.com.pk
614,instacare.pk
615,instapro2.com.pk
616,interior.gov.pk
617,interwood.pk
618,intimatefashions.pk
619,iobm.edu.pk
620,iorder.pk
621,ipaddress.com.pk
622,ipo.gov.pk
623,iqra.edu.pk
624,ishopping.pk
625,islamabadairport.com.pk
626,islamabadexcise.gov.pk
627,islamabadpolice.gov.pk
628,islamabadpost.com.pk
629,islamworld.com.pk
630,isms.pk
631,isp.edu.pk
632,isra.edu.pk
633,issb.gov.pk
634,issi.org.pk
635,ist.edu.pk
636,itu.edu.pk
637,iub.edu.pk
638,iulms.edu.pk
639,iwc.com.pk
640,jackednutrition.pk
641,jacquard.pk
642,jadeno.pk
643,jalalsons.com.pk
644,jang.com.pk
645,japanelectronics.com.pk
646,jazmin.pk
647,jazz.com.pk
648,jazzcash.com.pk
649,jazzdrive.com.pk
650,jazzesl.com.pk
651,jazzparho.com.pk
652,jazztv.pk
653,jblink.pk
654,jbms.pk
655,jdihs.edu.pk
656,jewel.pk
657,jewellerybazaar.pk
658,jivuu.pk
659,jobify.pk
660,jobsalert.pk
661,jobscentre.pk
662,jobster.pk
663,jobz.pk
664,jockey.com.pk
665,johra.pk
666,joinpaf.gov.pk
667,joinpakarmy.gov.pk
668,joinpaknavy.gov.pk
669,jpma.org.pk
670,jsmu.edu.pk
671,julke.pk
672,junaidtech.pk
673,justhunters.pk
674,juw.edu.pk
675,kandns.pk
676,karachiairport.com.pk
677,karachipolice.gov.pk
678,karobarcard.pk
679,karobari.pk
680,kasbit.edu.pk
681,kashaf.pk
682,kasheesboutique.pk
683,katib.pk
684,katmoviehd.pk
685,katran.pk
686,ke.com.pk
687,kemeistore.pk
688,kemu.edu.pk
689,kenwoodpakistan.pk
690,kfpprogram.pk
691,kfueit.edu.pk
692,kgtl.com.pk
693,khanaan.pk
694,khazanay.pk
695,kiddyco.pk
696,kiet.edu.pk
697,kinnaird.edu.pk
698,kisan.com.pk
699,kissanbhai.pk
700,kissanghar.pk
701,kiu.edu.pk
702,kjunction.com.pk
703,kkmart.pk
704,kkn.com.pk
705,kknetworks.com.pk
706,kmu.edu.pk
707,koa.com.pk
708,kohat.edu.pk
709,konfor.pk
710,koyal.pk
711,kp.gov.pk
712,kpbte.edu.pk
713,kpdata.gov.pk
714,kpese.gov.pk
715,kppolice.gov.pk
716,kppsc.gov.pk
717,kpt.gov.pk
718,kptevta.gov.pk
719,kpwildlife.com.pk
720,ktrade.pk
721,laam.pk
722,labcloud.pk
723,lacework.com.pk
724,lacework.pk
725,ladiesshop.pk
726,lahoreairport.com.pk
727,lahoreschool.edu.pk
728,lamudi.pk
729,laptab.com.pk
730,laservision.com.pk
731,lastbuy.pk
732,layers.pk
733,lcwu.edu.pk
734,lda.gop.pk
735,learneasy.pk
736,legacystore.pk
737,lemis.pk
738,lenceria.pk
739,leopardsoms.pk
740,leopardstracking.com.pk
741,lesco.com.pk
742,lesco.gov.pk
743,lesco.net.pk
744,lgu.edu.pk
745,lhc.gov.pk
746,libasghar.pk
747,lifestyle-collection.com.pk
748,limelight.pk
749,link.net.pk
750,linkshop.pk
751,linky.pk
752,littleplanet.pk
753,littlezclub.pk
754,lmis.gov.pk
755,lmp.net.pk
756,lnh.edu.pk
757,login.com.pk
758,londonbridge.com.pk
759,losha.pk
760,lotshop.pk
761,loyi.pk
762,lumhs.edu.pk
763,lums.edu.pk
764,m1.com.pk
765,madaris.pk
766,mahnur.pk
767,majesticchef.pk
768,maju.edu.pk
769,maknet.com.pk
770,malbus.com.pk
771,manalo.pk
772,marham.pk
773,mariab.pk
774,market.pk
775,mashriqtv.pk
776,masoodstore.com.pk
777,max.com.pk
778,maxfun.com.pk
779,mbasics.pk
780,mcb.com.pk
781,mcdelivery.com.pk
782,mcdonalds.com.pk
783,mcsol.com.pk
784,medicalstore.com.pk
785,mediq.com.pk
786,medishop.pk
787,meeral.com.pk
788,meerzah.pk
789,mega.pk
790,megathriftstore.pk
791,mehakposh.pk
792,mepco-it.com.pk
